model,strategy,positive_class,train_size,valid_size,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
DummyClassifier,most_frequent,Yes,475355,118839,0.7747961527781284,0.5,0.0,0.0,0.0,0.5,0.2252038472218716
LogisticRegression,,Yes,475355,118839,0.8544164794385681,0.784752933539903,0.6836710924761239,0.6579979822889811,0.6705889072942252,0.9084281629154494,0.7270930836617756
RandomForest,,Yes,475355,118839,0.8404227568390849,0.7528622831612095,0.6626757331775895,0.593543324739379,0.6262072771711279,0.8927983632670572,0.6906095057330766
LightGBM,,Yes,475355,118839,0.8604582670672086,0.7834570191911812,0.7098449868073878,0.6433508948922019,0.6749642290127208,0.9164113104283838,0.7542060402146737
