class,precision,recall,f1-score,support
No,0.8990833447871182,0.9235631434901603,0.9111588511671015,92076.0
Yes,0.7098449868073878,0.6433508948922019,0.6749642290127208,26763.0
accuracy,0.8604582670672086,0.8604582670672086,0.8604582670672086,0.8604582670672086
macro avg,0.804464165797253,0.7834570191911812,0.7930615400899111,118839.0
weighted avg,0.8564661385281331,0.8604582670672086,0.8579669135648187,118839.0
