original_feature,importance
TotalCharges,7987
MonthlyCharges,6411
tenure,5784
PaymentMethod,1664
Contract,1053
MultipleLines,741
PaperlessBilling,655
SeniorCitizen,635
OnlineSecurity,529
Dependents,526
StreamingTV,505
gender,502
DeviceProtection,498
StreamingMovies,486
Partner,483
OnlineBackup,482
TechSupport,421
InternetService,395
PhoneService,243
