,precision,recall,f1-score,support
No,0.7747961527781284,1.0,0.8731100206244221,92076.0
Yes,0.0,0.0,0.0,26763.0
accuracy,0.7747961527781284,0.7747961527781284,0.7747961527781284,0.7747961527781284
macro avg,0.3873980763890642,0.5,0.43655501031221106,118839.0
weighted avg,0.6003090783597889,0.7747961527781284,0.6764822849318346,118839.0
